Resource ID,Ethereum Token Address,Ethereum Handler Address,Ethereum Token Name,Ethereum Token Symbol,Ethereum Token Decimals,Meter Token Address,Meter Handler Address,Meter Token Name,Meter Token Symbol,Meter Token Decimals
0000000000000000000000bd2949f67dcdc549c6ebe98696449fa79d988a9f01,0xBd2949F67DcdC549c6Ebe98696449Fa79D988A9F,0xCCf4A9FdEE040782A6a37A65C986C23D964aad9D,Meter Governance mapped by Meter.io,eMTRG,18,0x228ebBeE999c6a7ad74A6130E81b12f9Fe237Ba3,0x0D152F033DDF3920f445963d8e38a40105Ffbe4d,Meter Governance,MTRG,18
0000000000000000000000c02aaa39b223fe8d0a0e5c4f27ead9083c756cc201,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xCCf4A9FdEE040782A6a37A65C986C23D964aad9D,Wrapped Ether,WETH,18,0x1a6eef221e4c4a2CCf84d125E975FbB3A879F66E,0x0D152F033DDF3920f445963d8e38a40105Ffbe4d,ETH from Ethereum on Meter,WETH,18
